Movie_Num,Title,Production Budget,Domestic,International,Worldwide,Profitable,Genre,Runtime (minutes),Distributor,Rating ,Theaters,Month of Release,,,,,,,,,,,,
170,Nine,80000000,19676965,34321841,53998806,0,Drama,110,Weinstein Company,PG-13,1412,12,,,,,,,,,,,,
171,Nothing but Trouble,40000000,8479793,0,8479793,0,Comedy,93,Warner Bros.,PG-13,1671,2,,,,,,,,,,,,
172,The Nutcracker in 3D,90000000,195459,15983500,16178959,0,Fantasy,108,Freestyle Releasing,PG,115,11,,,,,,,,,,,,
173,One from the Heart,26000000,636796,0,636796,0,Unknown,100,Columbia,R,41,2,,,,,,,,,,,,
174,Osmosis Jones,70000000,13596911,429507,14026418,0,Family Comedy,96,Warner Bros.,PG,2305,8,,,,,,,,,,,,
175,Pan,150000000,35088320,93300000,128388320,0,Fantasy,111,Warner Bros.,PG,3515,10,,,,,,,,,,,,
176,Peter Pan,100000000,48462608,73512403,121975011,0,Family Adventure,113,Universal,PG,2813,12,,,,,,,,,,,,
177,Pixels,88000000,78747585,164895457,243643042,1,Action Comedy,105,Sony,PG-13,3723,7,,,,,,,,,,,,
178,Poseidon,160000000,60674817,121000000,181674817,0,Action Drama,99,Warner Bros.,PG-13,3555,5,,,,,,,,,,,,
179,The Postman,80000000,17626234,0,17626234,0,Sci-Fi Adventure,177,Warner Bros.,R,2207,12,,,,,,,,,,,,
180,R.I.P.D.,130000000,33618855,44705365,78324220,0,Action Adventure,96,Universal,PG-13,2852,7,,,,,,,,,,,,
181,Red Planet,80000000,17480890,15983079,33463969,0,Sci-Fi Adventure,106,Warner Bros.,PG-13,2703,11,,,,,,,,,,,,
182,Revolution,28000000,358574,0,358574,0,Unknown,125,Warner Bros.,PG,30,12,,,,,,,,,,,,
183,Rise of the Guardians,145000000,103412758,203528912,306941670,1,Animation,97,Paramount,PG,3672,11,,,,,,,,,,,,
184,Rollerball,70000000,18990798,6861966,25852764,0,Sports Action,97,MGM,PG-13,2762,2,,,,,,,,,,,,
185,Rush Hour 3,140000000,140125968,117896265,258022233,0,Action Comedy,90,New Line,PG-13,3778,8,,,,,,,,,,,,
186,Sahara,130000000,68671925,50597561,119269486,0,Adventure,124,Paramount,PG-13,3200,4,,,,,,,,,,,,
187,The Scarlet Letter,46000000,10382407,0,10382407,0,Buena Vista,135,Buena Vista,R,1518,10,,,,,,,,,,,,
188,Seventh Son,95000000,17223265,96955348,114178613,0,Fantasy,102,Universal,PG-13,2875,2,,,,,,,,,,,,
189,Soldier,60000000,14594226,0,14594226,0,Sci-Fi Action,99,Warner Bros.,R,2507,10,,,,,,,,,,,,
190,A Sound of Thunder,80000000,1900451,9765014,11665465,0,Sci-Fi Horror,103,Warner Bros.,PG-13,816,9,,,,,,,,,,,,
191,Speed Racer,120000000,43945766,50000000,93945766,0,Action,135,Warner Bros.,PG,3606,5,,,,,,,,,,,,
192,Sphere,80000000,37020277,0,37020277,0,Sci-Fi Thriller,152,Warner Bros.,PG-13,2814,2,,,,,,,,,,,,
193,Stealth,135000000,32116746,44816126,76932872,0,Action,121,Sony,PG-13,3495,7,,,,,,,,,,,,
194,Supernova,90000000,14230455,597626,14828081,0,Sci-Fi Thriller,91,MGM,PG-13,2280,1,,,,,,,,,,,,
195,Titan A.E.,75000000,22753426,14001208,36754634,0,Animation,94,Fox,PG,2775,6,,,,,,,,,,,,
196,Tomorrowland,190000000,93436322,115599346,209035668,0,Sci-Fi,130,Buena Vista,PG,3972,5,,,,,,,,,,,,
197,Town & Country,90000000,6719973,3652318,10400000,0,Romantic Comedy,104,New Line,R,2222,4,,,,,,,,,,,,
198,Treasure Planet,140000000,38176783,71401332,109600000,0,Animation,95,Buena Vista,PG,3227,11,,,,,,,,,,,,
199,Windtalkers,115000000,40914068,36714197,77628265,0,War,134,MGM,R,2898,6,,,,,,,,,,,,
200,The Wolfman,150000000,61979680,77810085,139789765,0,Horror,102,Universal,R,3223,2,,,,,,,,,,,,
201,xXx: State of the Union,113100000,26873932,44148761,71022693,0,Action Thriller,93,Sony,PG-13,3480,4,,,,,,,,,,,,
202,Zoom,75600000,11989328,516860,12506188,0,Family Adventure,83,Sony,PG,2501,8,,,,,,,,,,,,
